"id","past.purchase","email","direct"
1,0,0,1
2,1,1,1
3,1,1,0
4,0,0,0
5,1,1,1
6,0,0,0
7,0,0,1
8,1,1,1
9,0,0,1
10,0,0,0
11,0,0,0
12,1,1,1
13,1,1,1
14,0,0,0
15,0,0,1
16,1,0,1
17,1,1,0
18,0,0,0
19,1,1,0
20,0,0,0
21,1,1,1
22,0,0,0
23,1,1,1
24,0,0,0
25,0,1,0
26,1,1,1
27,0,0,1
28,1,1,1
29,0,1,0
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,0,0,1
35,0,0,0
36,0,0,1
37,1,1,0
38,0,0,0
39,1,1,0
40,1,1,0
41,1,1,0
42,1,1,1
43,1,1,1
44,0,1,0
45,0,0,1
46,1,1,1
47,1,1,0
48,1,1,0
49,1,1,1
50,1,1,1
51,1,1,1
52,0,0,1
53,1,1,0
54,1,1,1
55,0,1,0
56,1,1,1
57,1,1,1
58,1,0,1
59,0,0,0
60,1,1,1
61,0,0,0
62,1,1,1
63,1,1,1
64,1,1,1
65,1,1,1
66,0,0,0
67,1,1,1
68,1,1,1
69,1,1,0
70,0,1,0
71,0,0,0
72,1,1,1
73,0,0,0
74,1,1,1
75,1,1,1
76,1,1,1
77,1,1,1
78,0,0,1
79,1,1,0
80,0,0,0
81,1,1,1
82,0,0,1
83,0,0,0
84,1,0,1
85,0,0,0
86,0,0,0
87,1,1,1
88,0,1,0
89,0,0,0
90,1,1,1
91,1,1,1
92,1,1,0
93,0,0,0
94,0,1,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,1
99,1,1,1
100,0,0,0
101,0,0,0
102,1,1,1
103,0,0,0
104,0,0,0
105,1,1,0
106,0,0,0
107,1,1,1
108,0,0,1
109,1,1,1
110,0,0,0
111,0,1,0
112,0,0,1
113,0,0,0
114,1,1,1
115,0,1,0
116,0,0,0
117,1,1,0
118,0,0,1
119,0,0,0
120,1,1,1
121,0,1,0
122,0,0,1
123,1,1,1
124,1,1,1
125,1,1,1
126,1,0,1
127,1,1,1
128,1,1,1
129,0,1,0
130,1,1,0
131,1,0,1
132,0,0,0
133,0,0,1
134,0,0,1
135,0,0,0
136,1,1,1
137,1,1,1
138,0,0,1
139,1,0,1
140,1,1,1
141,0,1,1
142,0,0,0
143,1,1,1
144,0,0,0
145,0,0,0
146,0,0,1
147,1,1,0
148,1,1,1
149,1,1,1
150,0,0,0
151,0,0,0
152,0,0,1
153,0,0,0
154,0,0,1
155,1,0,1
156,1,1,1
157,0,0,0
158,0,0,0
159,1,1,1
160,1,1,1
161,0,0,1
162,1,0,0
163,1,1,1
164,1,1,1
165,1,1,1
166,1,1,1
167,0,0,0
168,0,1,0
169,1,1,1
170,1,1,1
171,0,0,0
172,0,0,1
173,1,1,1
174,1,1,1
175,1,1,1
176,1,1,1
177,1,1,0
178,0,1,0
