"","id","date","last.touch","last.click"
"1",2,2017-01-04,"email","none"
"2",2,2017-02-12,"email","none"
"3",3,2017-02-02,"email","none"
"4",3,2017-02-14,"email","none"
"5",5,2017-01-04,"display","email"
"6",5,2017-01-13,"display","email"
"7",5,2017-01-20,"display","email"
"8",5,2017-01-26,"display","email"
"9",5,2017-01-31,"display","email"
"10",5,2017-02-06,"display","display"
"11",5,2017-02-08,"display","display"
"12",6,2017-02-16,"display","none"
"13",7,2017-01-07,"direct","none"
"14",7,2017-01-12,"social","none"
"15",8,2017-01-03,"none","none"
"16",8,2017-01-09,"direct","none"
"17",8,2017-01-17,"email","email"
"18",10,2017-01-28,"social","none"
"19",11,2017-02-12,"none","none"
"20",12,2017-01-05,"email","none"
"21",12,2017-01-06,"direct","none"
"22",13,2017-01-19,"display","email"
"23",13,2017-01-22,"display","email"
"24",13,2017-01-25,"display","email"
"25",13,2017-01-26,"social","email"
"26",13,2017-02-19,"display","email"
"27",14,2017-01-01,"social","none"
"28",16,2017-01-06,"direct","none"
"29",16,2017-01-07,"direct","none"
"30",16,2017-02-04,"direct","none"
"31",17,2017-01-18,"email","email"
"32",17,2017-02-20,"email","email"
"33",18,2017-02-24,"display","display"
"34",19,2017-01-04,"social","none"
"35",19,2017-01-18,"social","social"
"36",19,2017-01-31,"email","social"
"37",19,2017-02-09,"email","social"
"38",22,2017-01-05,"social","social"
"39",23,2017-01-09,"social","none"
"40",23,2017-01-10,"social","none"
"41",23,2017-01-17,"social","email"
"42",23,2017-02-03,"direct","email"
"43",23,2017-02-09,"email","email"
"44",26,2017-01-15,"email","none"
"45",26,2017-01-19,"email","none"
"46",26,2017-01-24,"email","none"
"47",28,2017-01-01,"display","none"
"48",28,2017-02-22,"display","display"
"49",29,2017-02-19,"display","email"
"50",30,2017-01-05,"social","email"
"51",30,2017-01-23,"social","email"
"52",30,2017-02-19,"direct","email"
"53",30,2017-02-20,"direct","email"
"54",31,2017-01-12,"social","social"
"55",31,2017-01-22,"social","social"
"56",31,2017-01-26,"social","email"
